 chromosome position count1 count2 statsval sequence
 chromosome position count1 count2 statsval sequence
 chromosome position count1 count2 statsval sequence
 chromosome position count1 count2 statsval sequence
 chromosome position count1 count2 statsval sequence
 chromosome position count1 count2 statsval sequence
 chromosome position count1 count2 statsval sequence
 chromosome position count1 count2 statsval sequence
 chromosome position count1 count2 statsval sequence
 chromosome position count1 count2 statsval sequence
 chromosome position count1 count2 statsval sequence
 chromosome position count1 count2 statsval sequence
 chromosome position count1 count2 statsval sequence
 chromosome position count1 count2 statsval sequence
 chromosome position count1 count2 statsval sequence
 chromosome position count1 count2 statsval sequence
 chromosome position count1 count2 statsval sequence
 chromosome position count1 count2 statsval sequence
 chromosome position count1 count2 statsval sequence
 chromosome position count1 count2 statsval sequence
 chromosome position count1 count2 statsval sequence
 chromosome position count1 count2 statsval sequence
 chromosome position count1 count2 statsval sequence
 chromosome position count1 count2 statsval sequence
 chromosome position count1 count2 statsval sequence
 chromosome position count1 count2 statsval sequence
 chromosome position count1 count2 statsval sequence
 chromosome position count1 count2 statsval sequence
 chromosome position count1 count2 statsval sequence
 chromosome position count1 count2 statsval sequence
 chromosome position count1 count2 statsval sequence
 chromosome position count1 count2 statsval sequence
 chromosome position count1 count2 statsval sequence
 chromosome position count1 count2 statsval sequence
 chromosome position count1 count2 statsval sequence
 chromosome position count1 count2 statsval sequence
 chromosome position count1 count2 statsval sequence
 chromosome position count1 count2 statsval sequence
 chromosome position count1 count2 statsval sequence
 chromosome position count1 count2 statsval sequence
 chromosome position count1 count2 statsval sequence
 chromosome position count1 count2 statsval sequence
 chromosome position count1 count2 statsval sequence
 chromosome position count1 count2 statsval sequence
 chromosome position count1 count2 statsval sequence
 chromosome position count1 count2 statsval sequence
 chromosome position count1 count2 statsval sequence
